t_ns,ch1_V,ch2_V,ch3_V
259896399,1.301832,1.295238,1.313553
259896399,1.309158,1.313553,1.309158
259896399,1.312088,1.312088,1.312821
259896399,1.309890,1.312821,1.296703
259896399,1.307692,1.311355,1.307692
259896399,1.304762,1.308425,1.303297
259896399,1.305495,1.309890,1.317216
259896399,1.331136,1.329670,1.331868
259896399,1.311355,1.309158,1.313553
259896399,1.309158,1.313553,1.298168
273409199,1.299634,1.311355,1.272527
273409199,1.301099,1.308425,1.279121
273409199,1.315018,1.330403,1.308425
273409199,1.313553,1.304029,1.288645
273409199,1.317216,1.312088,1.305495
273409199,1.312821,1.306227,1.313553
273409199,1.312088,1.312821,1.323810
273409199,1.315751,1.314286,1.329670
273409199,1.316484,1.312088,1.323077
273409199,1.312088,1.312821,1.328938
273409199,1.310623,1.312088,1.312088
273409199,1.328938,1.327473,1.317949
273409199,1.305495,1.311355,1.306227
296942399,1.311355,1.312088,1.309158
301777999,1.302564,1.311355,1.309158
301777999,1.306227,1.309158,1.303297
301777999,1.308425,1.309890,1.306960
301777999,1.311355,1.309890,1.306960
301777999,1.301832,1.309890,1.305495
301777999,1.316484,1.328205,1.332601
301777999,1.304762,1.314286,1.312821
301777999,1.313553,1.310623,1.318681
301777999,1.295238,1.308425,1.323077
301777999,1.313553,1.310623,1.328205
302042999,1.315018,1.318681,1.315751
302042999,1.310623,1.320879,1.292308
302042999,1.326007,1.327473,1.295971
302042999,1.304762,1.313553,1.287912
307790799,1.303297,1.309158,1.276923
307790799,1.303297,1.309158,1.285714
307790799,1.311355,1.315751,1.305495
308699499,1.309158,1.314286,1.315018
308699499,1.313553,1.312088,1.315018
308699499,1.306960,1.287912,1.305495
308699499,1.300366,1.312088,1.301832
308699499,1.311355,1.311355,1.306960
308699499,1.323077,1.324542,1.330403
308699499,1.303297,1.306960,1.316484
308699499,1.308425,1.309158,1.306227
308699499,1.311355,1.307692,1.309890
308699499,1.305495,1.312821,1.306960
308699499,1.307692,1.304029,1.315751
308699499,1.306227,1.311355,1.297436
308699499,1.300366,1.312821,1.313553
308699499,1.306960,1.312088,1.328938
309280000,1.315018,1.315751,1.337729
309280000,1.315018,1.309890,1.345788
309280000,1.306227,1.322344,1.328938
309783899,1.311355,1.310623,1.297436
309783899,1.287179,1.308425,1.274725
309783899,1.304029,1.314286,1.269597
310780499,1.306960,1.313553,1.261538
310780499,1.309158,1.312088,1.280586
310780499,1.330403,1.334066,1.330403
312436599,1.309890,1.311355,1.315751
312436599,1.320879,1.323810,1.332601
314248299,1.312088,1.316484,1.332601
314248299,1.313553,1.309890,1.327473
314248299,1.324542,1.320879,1.337729
314248299,1.331868,1.329670,1.320879
314248299,1.312821,1.314286,1.300366
314248299,1.308425,1.310623,1.276923
322565399,1.310623,1.314286,1.295238
354823799,1.314286,1.310623,1.306227
354823799,1.312088,1.322344,1.319414
354823799,1.315751,1.315751,1.302564
354823799,1.311355,1.316484,1.281319
354823799,1.317949,1.321612,1.303297
354823799,1.305495,1.317949,1.315751
354823799,1.320879,1.331868,1.326740
354823799,1.296703,1.309890,1.306960
354823799,1.302564,1.308425,1.312088
354823799,1.314286,1.306227,1.314286
354823799,1.331136,1.317949,1.317216
354823799,1.309890,1.315751,1.306960
354823799,1.304029,1.307692,1.300366
354823799,1.309158,1.310623,1.305495
354823799,1.315018,1.319414,1.315018
354823799,1.315018,1.312821,1.307692
354823799,1.310623,1.312821,1.300366
354823799,1.312821,1.311355,1.301832
361530499,1.304762,1.309158,1.307692
361530499,1.305495,1.315018,1.317949
361530499,1.305495,1.307692,1.327473
361530499,1.307692,1.310623,1.326740
361530499,1.312088,1.311355,1.317949
361530499,1.311355,1.309158,1.284249
361530499,1.320879,1.318681,1.259341
371019599,1.301832,1.314286,1.289377
371019599,1.309890,1.315018,1.292308
371019599,1.300366,1.306227,1.288645
371019599,1.306960,1.310623,1.309158
371019599,1.311355,1.320147,1.323077
371019599,1.326007,1.318681,1.334066
371019599,1.312821,1.297436,1.323077
371019599,1.309158,1.316484,1.323077
371019599,1.305495,1.309890,1.319414
371019599,1.311355,1.317216,1.313553
371019599,1.301832,1.309890,1.294505
371019599,1.319414,1.320147,1.306227
371019599,1.299634,1.308425,1.285714
371019599,1.309158,1.312088,1.287912
371019599,1.305495,1.309158,1.309158
371019599,1.314286,1.311355,1.323810
371019599,1.307692,1.315751,1.318681
371019599,1.304029,1.311355,1.306227
371019599,1.304762,1.309890,1.280586
371019599,1.310623,1.317216,1.287179
371664499,1.323810,1.318681,1.315018
371664499,1.310623,1.312088,1.323810
371664499,1.315018,1.312821,1.330403
371664499,1.314286,1.318681,1.340659
371664499,1.336264,1.331868,1.342125
400731000,1.331868,1.326740,1.312821
400731000,1.339927,1.329670,1.296703
400731000,1.306960,1.306960,1.276190
400731000,1.304762,1.313553,1.294505
400731000,1.306227,1.309890,1.310623
400731000,1.312088,1.313553,1.317949
400731000,1.310623,1.319414,1.326007
400731000,1.314286,1.323077,1.318681
400731000,1.306227,1.317949,1.314286
400731000,1.302564,1.318681,1.328938
400731000,1.306227,1.311355,1.317216
400731000,1.313553,1.314286,1.318681
401204499,1.310623,1.314286,1.314286
401204499,1.329670,1.336264,1.337729
401204499,1.312088,1.314286,1.340659
401812700,1.310623,1.313553,1.323810
401812700,1.332601,1.329670,1.321612
401812700,1.308425,1.309890,1.265201
403366699,1.323810,1.328938,1.275458
403366699,1.309158,1.314286,1.232234
