t_ns,ch1_V,ch2_V,ch3_V
256995749,1.300366,1.282784,1.333333
257927791,1.292308,1.270330,1.312088
258019957,1.259341,1.262271,1.309890
258915667,1.296703,1.279121,1.306227
258921707,1.334066,1.308425,1.322344
259004874,1.338462,1.341392,1.328205
259929707,1.331868,1.356777,1.315018
260941208,1.316484,1.365568,1.319414
260941208,1.347253,1.341392,1.331868
261044832,1.312088,1.306227,1.313553
261044832,1.267399,1.298168,1.322344
261044832,1.268132,1.309890,1.317949
261921416,1.309890,1.315751,1.325275
262003499,1.313553,1.320879,1.322344
262003499,1.327473,1.326740,1.317216
262935875,1.300366,1.331136,1.315751
262990332,1.281319,1.326007,1.317216
263936249,1.282051,1.317216,1.315018
263936249,1.317216,1.324542,1.328938
263987457,1.316484,1.312821,1.317216
264948500,1.352381,1.309890,1.313553
264948500,1.380220,1.315018,1.312088
265005166,1.336996,1.320879,1.323077
265956457,1.303297,1.318681,1.320879
265956457,1.299634,1.324542,1.318681
266004957,1.293773,1.312088,1.306960
298943416,1.312088,1.321612,1.318681
298943416,1.301832,1.323077,1.326740
299000541,1.311355,1.312088,1.319414
299944874,1.317216,1.311355,1.313553
299944874,1.315751,1.322344,1.323810
300008250,1.315751,1.325275,1.328205
300927708,1.321612,1.324542,1.328205
300927708,1.317949,1.317216,1.313553
300993832,1.303297,1.316484,1.317216
301910291,1.314286,1.323810,1.328938
301982625,1.320147,1.330403,1.326007
302899457,1.303297,1.326007,1.320147
302899457,1.292308,1.314286,1.312821
302993207,1.300366,1.324542,1.326007
303951416,1.306960,1.318681,1.328205
303951416,1.315018,1.312821,1.323810
304012208,1.315018,1.300366,1.306227
304935832,1.324542,1.317949,1.322344
304935832,1.332601,1.323810,1.327473
305018500,1.323077,1.324542,1.321612
305955291,1.319414,1.323077,1.323810
305955291,1.310623,1.320147,1.317949
306009625,1.310623,1.328205,1.326740
306940999,1.317216,1.327473,1.323810
307013083,1.309890,1.320879,1.320879
307933750,1.298168,1.315751,1.319414
307933750,1.310623,1.319414,1.323077
308395541,1.307692,1.322344,1.320879
308904041,1.295971,1.312088,1.312821
308904041,1.314286,1.325275,1.323810
308991625,1.327473,1.328938,1.323077
309996666,1.326007,1.322344,1.315018
309996666,1.314286,1.314286,1.317949
309996666,1.325275,1.323077,1.326007
310911083,1.313553,1.322344,1.319414
310993041,1.309158,1.312821,1.311355
312573375,1.308425,1.320879,1.323810
312586750,1.318681,1.316484,1.320147
313832916,1.316484,1.320147,1.320879
313832916,1.304029,1.314286,1.317216
313832916,1.322344,1.323810,1.323077
313832916,1.317949,1.325275,1.323810
313903749,1.304762,1.312088,1.306227
313991291,1.305495,1.318681,1.318681
313991291,1.313553,1.326740,1.326007
316324249,1.302564,1.320879,1.315751
316324249,1.303297,1.315018,1.315018
316324249,1.301832,1.314286,1.325275
316324249,1.312088,1.324542,1.326007
316324249,1.311355,1.325275,1.310623
348257832,1.332601,1.328205,1.307692
349529707,1.328938,1.334799,1.331136
349529707,1.326007,1.324542,1.323077
349529707,1.312088,1.305495,1.320147
349909833,1.315018,1.286447,1.320147
349993332,1.304762,1.295971,1.316484
351021708,1.314286,1.320879,1.323077
351021708,1.313553,1.320879,1.326007
351021708,1.307692,1.320147,1.317216
351922083,1.312821,1.322344,1.313553
351922083,1.323810,1.327473,1.323077
351995291,1.317949,1.323810,1.317949
352942083,1.312821,1.323077,1.320879
352942083,1.315018,1.325275,1.315751
353005957,1.309890,1.324542,1.318681
353929124,1.312088,1.323077,1.322344
353929124,1.314286,1.323077,1.318681
354003458,1.305495,1.320147,1.322344
354952666,1.309890,1.317216,1.321612
355009666,1.309158,1.318681,1.318681
355935667,1.296703,1.319414,1.323077
355935667,1.286447,1.323810,1.320147
356000750,1.299634,1.323810,1.321612
356934082,1.300366,1.326740,1.320879
356934082,1.294505,1.323077,1.315751
357010582,1.337729,1.318681,1.317216
357924832,1.347985,1.304762,1.316484
357924832,1.335531,1.320147,1.330403
357995249,1.341392,1.309158,1.315018
358937750,1.325275,1.311355,1.306960
358992917,1.299634,1.315018,1.312821
359921125,1.324542,1.318681,1.327473
359950000,1.330403,1.276190,1.322344
360006207,1.306227,1.279853,1.320879
360929624,1.307692,1.306227,1.320879
360929624,1.309158,1.303297,1.308425
360983833,1.309158,1.345055,1.323810
361931458,1.288645,1.392674,1.315751
361931458,1.295971,1.409524,1.317216
361993292,1.298901,1.341392,1.314286
362919250,1.304762,1.320147,1.328205
363004374,1.302564,1.306960,1.315751
363004374,1.318681,1.323810,1.319414
363946458,1.315018,1.320147,1.315751
363996957,1.306960,1.318681,1.325275
364943667,1.319414,1.312821,1.323810
364943667,1.320147,1.306960,1.320879
364995541,1.307692,1.309890,1.317216
365928499,1.326007,1.320147,1.331868
365928499,1.318681,1.312088,1.322344
397994457,1.304762,1.311355,1.328205
398965416,1.319414,1.320879,1.326740
398965416,1.301832,1.302564,1.316484
399017167,1.315751,1.319414,1.321612
399934541,1.315751,1.322344,1.323810
399934541,1.317949,1.322344,1.320879
400001125,1.315018,1.300366,1.319414
400912750,1.328205,1.314286,1.323077
400912750,1.312088,1.320879,1.323810
400984500,1.312821,1.328938,1.323810
401903166,1.298901,1.285714,1.319414
402001374,1.307692,1.322344,1.317949
402001374,1.306960,1.369963,1.317949
402914166,1.323810,1.362637,1.327473
402982583,1.317216,1.315751,1.323810
403888083,1.320879,1.298901,1.318681
403976458,1.309158,1.308425,1.323810
403976458,1.314286,1.317216,1.320879
404954499,1.304029,1.305495,1.317216
404954499,1.311355,1.317216,1.315018
405002667,1.306960,1.309158,1.312821
405880624,1.314286,1.328205,1.330403
405963582,1.317949,1.320147,1.320147
405963582,1.307692,1.313553,1.321612
406904749,1.315018,1.327473,1.325275
