t_ns,ch1_V,ch2_V,ch3_V
452483699,0.428571,0.432234,0.431502
452483699,0.429304,0.432234,0.431502
452483699,0.428571,0.430769,0.430037
452483699,0.427839,0.430769,0.430769
452483699,0.427106,0.429304,0.427839
452483699,0.425641,0.428571,0.429304
452483699,0.424908,0.428571,0.427106
455648499,0.426374,0.429304,0.427839
455648499,0.424908,0.428571,0.426374
455648499,0.424176,0.424908,0.424908
455648499,0.424176,0.424908,0.424176
455648499,0.423443,0.425641,0.425641
455648499,0.423443,0.424908,0.424908
455648499,0.426374,0.430037,0.427839
455648499,0.424908,0.427106,0.421245
455648499,0.429304,0.432234,0.429304
455648499,0.426374,0.430037,0.430769
455953199,0.430037,0.421245,0.431502
455953199,0.433700,0.429304,0.432234
493617100,0.430037,0.434432,0.432234
493617100,0.428571,0.432234,0.418315
494003400,0.424908,0.424908,0.428571
494003400,0.424176,0.427106,0.426374
494003400,0.424176,0.424908,0.425641
494003400,0.424176,0.422711,0.424908
494003400,0.418315,0.415385,0.421978
494003400,0.423443,0.427839,0.427106
494003400,0.423443,0.424176,0.425641
494079500,0.421978,0.424176,0.424908
494079500,0.421245,0.427839,0.424908
494079500,0.425641,0.427839,0.424908
496339999,0.424908,0.430037,0.428571
496339999,0.426374,0.428571,0.429304
496339999,0.426374,0.430037,0.428571
496339999,0.427839,0.414652,0.430037
496339999,0.430037,0.431502,0.430769
496339999,0.437363,0.438828,0.437363
496339999,0.435165,0.438095,0.425641
497250100,0.432234,0.435165,0.432967
497250100,0.432967,0.435165,0.432967
497250100,0.432234,0.431502,0.432967
498607899,0.430037,0.431502,0.413919
498607899,0.428571,0.435897,0.428571
498607899,0.428571,0.429304,0.430769
498607899,0.427106,0.427839,0.427106
503219899,0.425641,0.415385,0.427106
503219899,0.427839,0.429304,0.423443
503219899,0.429304,0.430037,0.428571
503219899,0.429304,0.428571,0.432234
503219899,0.427106,0.430769,0.429304
503448499,0.430769,0.432967,0.432234
503448499,0.427839,0.430037,0.430037
503448499,0.429304,0.430769,0.431502
503448499,0.430769,0.421245,0.432967
503448499,0.430037,0.431502,0.431502
503448499,0.430769,0.432234,0.433700
503448499,0.428571,0.431502,0.429304
503448499,0.426374,0.429304,0.429304
503448499,0.426374,0.430037,0.429304
503448499,0.425641,0.429304,0.429304
