t_ns,ch1_V,ch2_V,ch3_V
316870299,1.331868,1.331868,1.323810
316870299,1.310623,1.315751,1.300366
316870299,1.322344,1.337729,1.312821
316870299,1.314286,1.323077,1.302564
316870299,1.308425,1.322344,1.320147
317568400,1.310623,1.311355,1.326740
317568400,1.307692,1.315751,1.312821
317568400,1.312821,1.312821,1.295238
317568400,1.307692,1.309158,1.309890
317568400,1.304762,1.311355,1.309158
317568400,1.303297,1.307692,1.309890
348846599,1.309158,1.316484,1.323810
348846599,1.312088,1.311355,1.326007
348846599,1.300366,1.309158,1.314286
348846599,1.304762,1.309158,1.297436
348846599,1.306227,1.313553,1.269597
348846599,1.305495,1.310623,1.253480
348846599,1.312821,1.312088,1.263004
348846599,1.334066,1.339194,1.316484
348846599,1.312821,1.314286,1.391209
348846599,1.305495,1.312088,1.421245
348846599,1.316484,1.309158,1.350916
348846599,1.312088,1.310623,1.291575
348846599,1.320879,1.304762,1.283516
348846599,1.315018,1.309890,1.273260
348846599,1.319414,1.313553,1.273993
348846599,1.317216,1.315751,1.305495
348846599,1.303297,1.317216,1.268864
348846599,1.305495,1.313553,1.248352
348846599,1.305495,1.331868,1.289377
348846599,1.302564,1.317216,1.309890
348846599,1.299634,1.312821,1.348718
348846599,1.307692,1.317216,1.408059
348846599,1.325275,1.349451,1.339927
348846599,1.308425,1.316484,1.309890
348846599,1.315018,1.309158,1.312821
348846599,1.323810,1.313553,1.309890
348846599,1.329670,1.320879,1.317216
348846599,1.315751,1.298168,1.320147
348846599,1.317949,1.309890,1.319414
348846599,1.309158,1.312821,1.307692
348846599,1.322344,1.331136,1.326007
349555300,1.280586,1.306227,1.300366
349555300,1.288645,1.315751,1.306227
349555300,1.316484,1.315018,1.290842
350157100,1.333333,1.332601,1.332601
350157100,1.317216,1.319414,1.319414
350157100,1.310623,1.320879,1.284249
351111600,1.328938,1.318681,1.300366
351111600,1.343590,1.334799,1.309890
352635300,1.310623,1.314286,1.300366
352635300,1.311355,1.319414,1.315751
352635300,1.300366,1.310623,1.295238
359261800,1.291575,1.312088,1.314286
359261800,1.311355,1.318681,1.326740
359261800,1.343590,1.331868,1.360440
360045599,1.354579,1.328205,1.367766
360045599,1.331868,1.315018,1.327473
360045599,1.320879,1.312821,1.305495
360045599,1.312088,1.316484,1.276923
360045599,1.289377,1.312088,1.276923
389528600,1.295238,1.314286,1.309158
389528600,1.296703,1.314286,1.356777
389528600,1.318681,1.311355,1.352381
389528600,1.318681,1.314286,1.322344
389783200,1.315751,1.310623,1.276923
389783200,1.310623,1.316484,1.233700
389783200,1.312088,1.311355,1.237363
396326400,1.320147,1.320147,1.284982
396326400,1.310623,1.312088,1.310623
396326400,1.309158,1.313553,1.326007
396505500,1.312088,1.315018,1.317216
396505500,1.316484,1.310623,1.327473
396505500,1.317949,1.312088,1.334799
396505500,1.313553,1.310623,1.323810
396505500,1.298168,1.314286,1.308425
396505500,1.310623,1.312821,1.300366
396505500,1.304029,1.323077,1.305495
396505500,1.290842,1.314286,1.303297
396505500,1.290110,1.309890,1.300366
396505500,1.304762,1.315751,1.285714
396505500,1.322344,1.307692,1.323077
396505500,1.329670,1.312088,1.322344
396505500,1.320147,1.308425,1.315751
396505500,1.323810,1.310623,1.293773
396505500,1.323077,1.314286,1.293773
396505500,1.315018,1.321612,1.304029
396994499,1.300366,1.315751,1.311355
